PLAYER_ID,PLAYER_NAME,GP,MIN,role,FGA,ZONE_FGA,FGA_DIFFERENCE,coverage_ok
1630639,A.J. Lawson,26,18.7,Guard,190,190.0,0.0,True
1631260,AJ Green,73,22.7,Guard,424,424.0,0.0,True
1642358,AJ Johnson,29,22.0,Guard,213,213.0,0.0,True
203932,Aaron Gordon,51,28.4,Wing,497,497.0,0.0,True
1628988,Aaron Holiday,62,12.8,Guard,268,268.0,0.0,True
1630174,Aaron Nesmith,45,24.9,Wing,379,379.0,0.0,True
1630598,Aaron Wiggins,76,22.9,Guard,728,728.0,0.0,True
1641745,Adam Flagler,37,5.5,Guard,96,96.0,0.0,True
1641766,Adama Sanogo,4,5.4,,7,7.0,0.0,True
1641737,Adem Bona,58,15.6,Wing,192,192.0,0.0,True
1642349,Ajay Mitchell,36,16.6,Guard,184,184.0,0.0,True
201143,Al Horford,60,27.6,Big,461,461.0,0.0,True
202692,Alec Burks,49,17.6,Guard,271,271.0,0.0,True
1627936,Alex Caruso,54,19.3,Guard,314,314.0,0.0,True
1642505,Alex Ducas,21,6.0,Guard,30,30.0,0.0,True
203458,Alex Len,46,8.3,Big,63,63.0,0.0,True
1642024,Alex Reese,15,14.4,Big,54,54.0,0.0,True
1642259,Alex Sarr,67,27.1,Big,828,828.0,0.0,True
1631214,Alondes Williams,1,3.7,,2,,,False
1630578,Alperen Sengun,76,31.5,Big,1143,1143.0,0.0,True
1641708,Amen Thompson,69,32.3,Wing,697,697.0,0.0,True
1629599,Amir Coffey,72,24.3,Wing,510,510.0,0.0,True
203083,Andre Drummond,40,18.8,Big,234,234.0,0.0,True
1641748,Andre Jackson Jr.,67,14.6,Guard,197,197.0,0.0,True
1629614,Andrew Nembhard,65,28.9,Wing,539,539.0,0.0,True
203952,Andrew Wiggins,60,30.7,Wing,839,839.0,0.0,True
1629014,Anfernee Simons,70,32.7,Guard,1125,1125.0,0.0,True
1641710,Anthony Black,78,24.2,Guard,620,620.0,0.0,True
203076,Anthony Davis,51,33.4,Big,910,910.0,0.0,True
1630162,Anthony Edwards,79,36.3,Guard,1612,1612.0,0.0,True
1630264,Anthony Gill,51,7.8,Wing,88,88.0,0.0,True
1641817,Anton Watson,9,2.5,Wing,9,9.0,0.0,True
1641810,Antonio Reeves,44,15.0,Guard,248,248.0,0.0,True
1630574,Ariel Hukporti,25,8.7,Big,31,31.0,0.0,True
1642422,Armel Traore,9,7.4,,19,19.0,0.0,True
1641709,Ausar Thompson,59,22.5,Wing,460,460.0,0.0,True
